
Coordinates:
Table 1
[(259, 1113), (591, 1113), (259, 1249), (591, 1249)]
[(259, 1249), (591, 1249), (259, 1386), (591, 1386)]
[(259, 1386), (591, 1386), (259, 1522), (591, 1522)]
[(259, 1522), (591, 1522), (259, 1658), (591, 1658)]
[(591, 1113), (923, 1113), (591, 1249), (923, 1249)]
[(591, 1249), (923, 1249), (591, 1386), (923, 1386)]
[(591, 1386), (923, 1386), (591, 1522), (923, 1522)]
[(591, 1522), (923, 1522), (591, 1658), (923, 1658)]
[(923, 1113), (1255, 1113), (923, 1249), (1255, 1249)]
[(923, 1249), (1255, 1249), (923, 1386), (1255, 1386)]
[(923, 1386), (1255, 1386), (923, 1522), (1255, 1522)]
[(923, 1522), (1255, 1522), (923, 1658), (1255, 1658)]
[(1255, 1113), (1587, 1113), (1255, 1249), (1587, 1249)]
[(1255, 1249), (1587, 1249), (1255, 1386), (1587, 1386)]
[(1255, 1386), (1587, 1386), (1255, 1522), (1587, 1522)]
[(1255, 1522), (1587, 1522), (1255, 1658), (1587, 1658)]
[(1587, 1113), (1919, 1113), (1587, 1249), (1919, 1249)]
[(1587, 1249), (1919, 1249), (1587, 1386), (1919, 1386)]
[(1587, 1386), (1919, 1386), (1587, 1522), (1919, 1522)]
[(1587, 1522), (1919, 1522), (1587, 1658), (1919, 1658)]
Coordinates:
Table 2
[(259, 1874), (596, 1874), (259, 2016), (596, 2016)]
[(259, 2016), (596, 2016), (259, 2157), (596, 2157)]
[(259, 2157), (596, 2157), (259, 2298), (596, 2298)]
[(259, 2298), (596, 2298), (259, 2440), (596, 2440)]
[(259, 2440), (596, 2440), (259, 2581), (596, 2581)]
[(596, 1874), (933, 1874), (596, 2016), (933, 2016)]
[(596, 2016), (933, 2016), (596, 2157), (933, 2157)]
[(596, 2157), (933, 2157), (596, 2298), (933, 2298)]
[(596, 2298), (933, 2298), (596, 2440), (933, 2440)]
[(596, 2440), (933, 2440), (596, 2581), (933, 2581)]
[(933, 1874), (1270, 1874), (933, 2016), (1270, 2016)]
[(933, 2016), (1270, 2016), (933, 2157), (1270, 2157)]
[(933, 2157), (1270, 2157), (933, 2298), (1270, 2298)]
[(933, 2298), (1270, 2298), (933, 2440), (1270, 2440)]
[(933, 2440), (1270, 2440), (933, 2581), (1270, 2581)]
[(1270, 1874), (1607, 1874), (1270, 2016), (1607, 2016)]
[(1270, 2016), (1607, 2016), (1270, 2157), (1607, 2157)]
[(1270, 2157), (1607, 2157), (1270, 2298), (1607, 2298)]
[(1270, 2298), (1607, 2298), (1270, 2440), (1607, 2440)]
[(1270, 2440), (1607, 2440), (1270, 2581), (1607, 2581)]
